tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	TO062	16.753	17.92	1.167	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	allora buongiorno,	allora buongiorno,	allora buongiorno
1	TO062	18.286	18.863	0.577	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	buongiorno	buongiorno	buongiorno
2	TO062	19.949	21.265	1.316	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	sono martina rossi,	sono martina rossi,	sono martina rossi
3	TO062	21.386	22.103	0.717	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	e::h	e::h	eh
4	TO062	22.25	24.38	2.13	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	sono professore associato di letteratura italiana,	sono professore associato di letteratura italiana,	sono professore associato di letteratura italiana
5	TO062	24.406	25.843	1.437	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	insegno qui da molti anni,	insegno qui da molti anni,	insegno qui da molti anni
6	TO062	26.41	30.003	3.593	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	13	forse qualcuno mi ha gia incontrato al laboratorio di scrittura (.) l' anno scorso,	forse qualcuno mi ha gia incontrato al laboratorio di scrittura {P} l' anno scorso,	forse qualcuno mi ha gia incontrato al laboratorio di scrittura {P} l' anno scorso
7	TO062	30.439	31.806	1.367	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	e::hm::	e::hm::	ehm
8	TO062	31.851	33.548	1.697	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	spero quest' anno di essere	spero quest' anno di essere	spero quest' anno di essere
9	TO062	33.863	34.753	0.89	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	me:no:	me:no:	meno
10	TO062	35.221	36.961	1.74	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	di dovervi me:no riprendere	di dovervi me:no riprendere	di dovervi meno riprendere
11	TO062	37.772	40.806	3.034	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	6	allora, il corso di (.) quest' anno	allora, il corso di {P} quest' anno	allora il corso di {P} quest' anno
12	TO062	41.418	43.955	2.537	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	4	è un corso (.) avanzato,	è un corso {P} avanzato,	è un corso {P} avanzato
13	TO062	44.727	48.253	3.526	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	e::h nel piano carriera di lettere è messo al terzo anno,	e::h nel piano carriera di lettere è messo al terzo anno,	eh nel piano carriera di lettere è messo al terzo anno
14	TO062	48.786	50.196	1.41	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	può essere anche:	può essere anche:	può essere anche
15	TO062	50.521	51.091	0.57	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	m::h	m::h	mh
16	TO062	51.11	53.956	2.846	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	inserito da studenti di altri corsi di laurea,	inserito da studenti di altri corsi di laurea,	inserito da studenti di altri corsi di laurea
17	TO062	54.656	57.209	2.553	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	e: da erasmus, da studenti in erasmus	e: da erasmus, da studenti in erasmus	e da erasmus da studenti in erasmus
18	TO062	57.219	59.709	2.49	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	in mh in c~ nel caso in cui	in mh in c~ nel caso in cui	in mh in c~ nel caso in cui
19	TO062	60.248	62.458	2.21	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	non foste del terzo anno di lettere	non foste del terzo anno di lettere	non foste del terzo anno di lettere
20	TO062	62.522	65.796	3.274	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	6	vi prego piano piano (.) di manifestarvi,	vi prego piano piano {P} di manifestarvi,	vi prego piano piano {P} di manifestarvi
21	TO062	65.908	67.058	1.15	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	di chiedermi,	di chiedermi,	di chiedermi
22	TO062	67.161	70.554	3.393	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	perché per a:ltri piani carriera e altre situazioni	perché per a:ltri piani carriera e altre situazioni	perché per altri piani carriera e altre situazioni
23	TO062	71.3	72.883	1.583	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	cerchiamo di concordare	cerchiamo di concordare	cerchiamo di concordare
24	TO062	72.979	76.309	3.33	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	un: esame che sia rispondente alle vostre esigenze.	un: esame che sia rispondente alle vostre esigenze.	un esame che sia rispondente alle vostre esigenze
25	TO062	76.86	80.856	3.996	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	perché questo corso è pensato per studenti che abbiano già sostenuto	perché questo corso è pensato per studenti che abbiano già sostenuto	perché questo corso è pensato per studenti che abbiano già sostenuto
26	TO062	81.212	84.132	2.92	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	un esame da dodici crediti di letteratura italia:na,	un esame da dodici crediti di letteratura italia:na,	un esame da dodici crediti di letteratura italiana
27	TO062	84.142	86.505	2.363	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	che abbiano già fatto storia della lingua italia:na,	che abbiano già fatto storia della lingua italia:na,	che abbiano già fatto storia della lingua italiana
28	TO062	86.827	90.291	3.464	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	9	e:h che abbiano insomma seguito il percorso (.) di lettere.	e:h che abbiano insomma seguito il percorso {P} di lettere.	eh che abbiano insomma seguito il percorso {P} di lettere
29	TO062	90.903	93.026	2.123	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	altri studenti lo possono ugualmente seguire,	altri studenti lo possono ugualmente seguire,	altri studenti lo possono ugualmente seguire
30	TO062	93.033	93.403	0.37	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	però	però	però
31	TO062	93.699	94.256	0.557	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	m::h	m::h	mh
32	TO062	94.264	97.144	2.88	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	5	bisogna (.) un po' eh resettarlo.	bisogna {P} un po' eh resettarlo.	bisogna {P} un po' eh resettarlo
33	TO062	97.265	97.705	0.44	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	va bene,	va bene,	va bene
34	TO062	98.891	101.25	2.359	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	e::h sarà un corso::	e::h sarà un corso::	eh sarà un corso
35	TO062	101.45	103.653	2.203	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	anche sperimenta:le se volete	anche sperimenta:le se volete	anche sperimentale se volete
36	TO062	103.94	104.713	0.773	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	m::h	m::h	mh
37	TO062	104.73	107.55	2.82	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	con: molti materiali da ricomporre,	con: molti materiali da ricomporre,	con molti materiali da ricomporre
38	TO062	107.562	110.708	3.146	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	per quello è: inserito al terzo anno, perché presuppone	per quello è: inserito al terzo anno, perché presuppone	per quello è inserito al terzo anno perché presuppone
39	TO062	111.006	113.653	2.647	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	un minimo di maturità da parte degli studenti	un minimo di maturità da parte degli studenti	un minimo di maturità da parte degli studenti
40	TO062	113.956	114.703	0.747	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	per	per	per
41	TO062	114.859	117.802	2.943	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	e:h perché non sarà un corso lineare	e:h perché non sarà un corso lineare	eh perché non sarà un corso lineare
42	TO062	117.939	121.196	3.257	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	10	in cui io (.) spiego dall' inizio alla fine un argomento,	in cui io {P} spiego dall' inizio alla fine un argomento,	in cui io {P} spiego dall' inizio alla fine un argomento
43	TO062	121.206	122.501	1.295	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	e voi dovete prendere appunti	e voi dovete prendere appunti	e voi dovete prendere appunti
44	TO062	122.893	126.2	3.307	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	8	richiederà un po'di (.) impegno da parte vostra	richiederà un po'di {P} impegno da parte vostra	richiederà un po' di {P} impegno da parte vostra
45	TO062	126.206	129.553	3.347	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	8	per ricostruire un quadro che è (.) molto complesso.	per ricostruire un quadro che è {P} molto complesso.	per ricostruire un quadro che è {P} molto complesso
46	TO062	129.903	132.503	2.6	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	7	che è molto complesso, perché ((tossisce)) parlare di	che è molto complesso, perché {tossisce} parlare di	che è molto complesso perché {tossisce} parlare di
47	TO062	133.15	133.91	0.76	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	amo:re	amo:re	amore
48	TO062	134.796	135.753	0.957	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	nel medioevo,	nel medioevo,	nel medioevo
49	TO062	135.991	138.966	2.975	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	vuol dire avvicinarsi a una categoria che	vuol dire avvicinarsi a una categoria che	vuol dire avvicinarsi a una categoria che
50	TO062	139.871	141.981	2.11	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	n::~ non c' entra quasi nulla	n::~ non c' entra quasi nulla	n~ non c' entra quasi nulla
51	TO062	142.027	143.747	1.72	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	con ciò che no:i o:ggi	con ciò che no:i o:ggi	con ciò che noi oggi
