tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	PKP057	2.25	3.29	1.04	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	sai che non mi dispiace?	sai che non mi dispiace?	sai che non mi dispiace
1	PKP060	3.33	4.71	1.38	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	eh prendiamo la bottiglia	eh prendiamo la bottiglia	eh prendiamo la bottiglia
2	PKP057	10.0	10.81	0.81	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	però è giotto eh	però è giotto eh	però è giotto eh
3	PKP060	12.38	14.99	2.61	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	eh ma sarà una bottiglia da xx	eh ma sarà una bottiglia da xx	eh ma sarà una bottiglia da x
4	PKP057	15.41	16.155	0.75	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	3	no neanch'io	no neanch'io	no neanch' io
5	PKP060	16.155	17.44	1.29	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	5	sarà molt~ sarà molto piccola	sarà molt~ sarà molto piccola	sarà molt~ sarà molto piccola
6	PKP060	18.793	19.893	1.1	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	una bottiglietta	una bottiglietta	una bottiglietta
7	PKP057	19.907	21.007	1.1	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	sarà una bottiglietta da sake tipo	sarà una bottiglietta da sake tipo	sarà una bottiglietta da sake tipo
8	PKP060	26.76	28.77	2.01	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	poi oh se ce ne arriva tanto non si butta mica via	poi oh se ce ne arriva tanto non si butta mica via	poi oh se ce ne arriva tanto non si butta mica via
9	PKP057	29.99	31.07	1.08	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	è vero si porta a casa	è vero si porta a casa	è vero si porta a casa
