tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	BO086	0.673	2.008	1.335	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	no mi trovo: molto bene,	no mi trovo: molto bene,	no mi trovo molto bene
1	BO086	2.816	5.928	3.112	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	10	ehm questo è il (.) terzo anno che sono a bologna,	ehm questo è il {P} terzo anno che sono a bologna,	ehm questo è il {P} terzo anno che sono a bologna
2	BO086	7.376	14.008	6.632	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	18	e::: è molto: è molto interessante come la vedo ora dopo: dopo appunto due anni che ci sto.	e::: è molto: è molto interessante come la vedo ora dopo: dopo appunto due anni che ci sto.	e è molto è molto interessante come la vedo ora dopo dopo appunto due anni che ci sto
3	BO086	15.016	21.378	6.362	True	False	0	0	1	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	14	perchè:: quando sono arrivata insomma io vengo da un posto (.) dalla svizzera italiana, da @nomepaese,	perché:: quando sono arrivata insomma io vengo da un posto {P} dalla svizzera italiana, da @nomepaese,	perché quando sono arrivata insomma io vengo da un posto {P} dalla svizzera italiana da @nomepaese,
4	BO086	21.976	31.92	9.944	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	22	che è un posto piccolo. e quindi arrivare: in questa città:, così: goliardica, insomma all' inizio è stato un: un boom. incredibile.	che è un posto piccolo. e quindi arrivare: in questa città:, così: goliardica, insomma all' inizio è stato un: un boom. incredibile.	che è un posto piccolo e quindi arrivare in questa città così goliardica insomma all' inizio è stato un un boom incredibile
5	BO086	33.04	36.626	3.586	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	8	mi sono trovata (.) travolta nella vita mondana bolognese,	mi sono trovata {P} travolta nella vita mondana bolognese,	mi sono trovata {P} travolta nella vita mondana bolognese
6	BO086	36.972	41.35	4.378	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	di studenti infatti, è così che ti ho conosciuto. subito praticamente.	di studenti infatti, è così che ti ho conosciuto. subito praticamente.	di studenti infatti è così che ti ho conosciuto subito praticamente
7	BO115	41.425	43.675	2.25	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	beh neanche in [situazio]ni troppo deliranti dai.	beh neanche in [situazio]ni troppo deliranti dai.	beh neanche in situazioni troppo deliranti dai
8	BO086	42.02	42.37	0.35	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	1	[e,]	[e],	e
9	BO086	43.69	45.66	1.97	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	10=0.270	False	0	1	0	5	no no assolutamente no que~ ((ride))	no no assolutamente no que~ {ride}	no no assolutamente no que~ {ride}
