tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	BO112	4.07	4.96	0.89	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	si sente?	si sente?	si sente
1	BO112	5.21	5.91	0.7	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	incominciamo,	incominciamo,	incominciamo
2	BO112	9.121	11.465	2.344	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	ragazzi oggi,	ragazzi oggi,	ragazzi oggi
3	BO112	15.06	17.02	1.96	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	7	>allora< oggi io (.) non ho la voce.	>allora< oggi io {P} non ho la voce.	allora oggi io {P} non ho la voce
4	BO112	17.1	23.693	6.593	True	False	0	0	1	0	1	0	0	0	False	False	False	False	False	_	False	1	0	0	19	che sono sostanzialmente (.)  malata. quindi statemi lontano però son venuta lo stesso perchè essendo la seconda lezione diventava impossibile (.)	che sono sostanzialmente {P} malata. quindi statemi lontano però son venuta lo stesso perché essendo la seconda lezione diventava impossibile	che sono sostanzialmente {P} malata quindi statemi lontano però son venuta lo stesso perché essendo la seconda lezione diventava impossibile
5	BO112	24.306	27.495	3.189	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	13	e::hm chi di voi non era alla lezione di ieri alzi la mano?	e::hm chi di voi non era alla lezione di ieri alzi la mano?	ehm chi di voi non era alla lezione di ieri alzi la mano
6	BO112	28.515	34.706	6.191	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	2	0	0	19	allora non siete tantissimi, comunque (.) innanzi tutto vi potete fare spiegare (.) qualcosa dai vostri colleghi. e in secondo luogo,	allora non siete tantissimi, comunque {P} innanzi tutto vi potete fare spiegare {P} qualcosa dai vostri colleghi. e in secondo luogo,	allora non siete tantissimi comunque {P} innanzi tutto vi potete fare spiegare {P} qualcosa dai vostri colleghi e in secondo luogo
7	BO112	34.76	37.5	2.74	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	4	io soprattutto (.) nel' intervallo,	io soprattutto {P} nel' intervallo,	io soprattutto {P} nel' intervallo
8	BO112	37.86	42.131	4.271	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	12	faccio lo (.) andare le slides, che sono relative agli aspetti più tecnici,	faccio lo {P} andare le slides, che sono relative agli aspetti più tecnici,	faccio lo {P} andare le slides che sono relative agli aspetti più tecnici
9	BO112	42.49	47.668	5.178	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	18	come:: il programma: eccetera. ci sono le due ragazze di magistra le che: che si lamentavano delle date?	come:: il programma: eccetera. ci sono le due ragazze di magistra le che: che si lamentavano delle date?	come il programma eccetera ci sono le due ragazze di magistra le che che si lamentavano delle date
10	BO112	48.71	49.76	1.05	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	non ci sono più?	non ci sono più?	non ci sono più
