tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	TO030	0.22	4.475	4.255	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	1	0	0	8	comunque sì. secondo me::: secondo me:: (.) potresti pro[vare.]	comunque sì. secondo me::: secondo me:: {P} potresti pro[vare].	comunque sì secondo me secondo me {P} potresti provare
1	TO054	4.153	4.617	0.464	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[prova]re.	[prova]re.	provare
2	TO030	4.77	5.368	0.598	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[(nel senso)]	[(nel senso)]	nel senso
3	TO054	4.797	10.385	5.588	True	False	0	0	0	0	0	0	0	2	False	False	False	False	False	_	False	0	0	0	15	[ma io,] volevo provare::: a parte i tre big, che sono roma, milano, [e genova,]	[ma io], volevo provare::: a parte i tre big, che sono roma, milano, [e genova],	ma io volevo provare a parte i tre big che sono roma milano e genova
4	TO030	9.634	11.09	1.456	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	4	[milano. sì.] sì sì.	[milano. sì]. sì sì.	milano sì sì sì
5	TO054	12.074	15.47	3.396	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	1, ,che	10	ci sono::: altre scuole,=che sono i teatri stabili alla fine.	ci sono::: altre scuole=,che sono i teatri stabili alla fine.	ci sono altre scuole ,che sono i teatri stabili alla fine
6	TO030	15.47	15.822	0.352	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	sì.	sì.	sì
7	TO030	16.262	16.72	0.458	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	2	[sì sì.]	[sì sì].	sì sì
8	TO054	16.284	19.076	2.792	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	6	[e quin]di:: (.) non le accademie private.	[e quin]di:: {P} non le accademie private.	e quindi {P} non le accademie private
9	TO054	19.428	21.549	2.121	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	6	perché sono poche quelle [veramente buone.]	perché sono poche quelle [veramente buone].	perché sono poche quelle veramente buone
10	TO030	20.409	22.658	2.249	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	[ma a torino? torino] fa ogni tre anni?	[ma a torino? torino] fa ogni tre anni?	ma a torino torino fa ogni tre anni
11	TO054	22.658	25.67	3.012	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	torino fa ogni=e:h tre an[ni, e:::] ha il limite di età.	torino fa ogni=e:h tre an[ni, e:::] ha il limite di età.	torino fa ogni eh tre anni e ha il limite di età
12	TO030	24.129	24.514	0.385	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	1	[ah.]	[ah].	ah
13	TO030	25.946	34.334	8.388	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	35	ha il limite di età, eh=ma mi anche anche, forse anche roma no? no. è il centro sperimentale che ha [il limite di età ma tanto noi ce ne sbattia]mo del centro sperimentale. quindi,	ha il limite di età, eh=ma mi anche anche, forse anche roma no? no. è il centro sperimentale che ha [il limite di età ma tanto noi ce ne sbattia]mo del centro sperimentale. quindi,	ha il limite di età eh ma mi anche anche forse anche roma no no è il centro sperimentale che ha il limite di età ma tanto noi ce ne sbattiamo del centro sperimentale quindi
14	TO054	30.669	32.412	1.743	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	1	0	0	2	[centro, (.) (sperimentale).]	[centro, {P} (sperimentale)].	centro {P} sperimentale
15	TO054	34.592	35.422	0.83	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	2	se[i posti.]	se[i posti].	sei posti
16	TO030	34.777	35.423	0.646	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	2	[no. xx.]	[no. xx].	no xx
17	TO054	36.019	38.756	2.737	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	5	(cioé cioé) (.) manco in=lontanamente,	(cioé cioé) {P} manco in=lontanamente,	cioé cioé {P} manco in lontanamente
18	TO054	38.999	46.639	7.64	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	24	però, e:::h la silvio d' amico e::=il=eh paolo grassi: e:: lo stabile di genova, non ce l' hanno il limite di età.	però, e:::h la silvio d' amico e::=il=eh paolo grassi: e:: lo stabile di genova, non ce l' hanno il limite di età.	però eh la silvio d' amico e il eh paolo grassi e lo stabile di genova non ce l' hanno il limite di età
19	TO054	46.666	49.929	3.263	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	9	c' hanno il limite dei trenta quindi (posso) ancora ((ride))	c' hanno il limite dei trenta quindi (posso) ancora {ride}	c' hanno il limite dei trenta quindi posso ancora {ride}
20	TO030	50.225	56.43	6.205	True	False	0	0	0	0	0	0	0	1	False	False	False	True	True	21=0.560,23=1.558	False	1	0	0	16	[ma ma] mica c' hai, [ma scusa parli come se avessi ventinove virgola (.) cinquan[tanove a:nni. cioè,]	[ma ma] mica c' hai, [ma scusa parli come se avessi ventinove virgola {P} cinquan[tanove a:nni. cioè],	ma ma mica c' hai ma scusa parli come se avessi ventinove virgola {P} cinquantanove anni cioè
