tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	PKP134	0.23	1.101	0.871	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	che belli:no,	che belli:no,	che bellino
1	PKP135	1.28	1.729	0.449	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	ma chi?	ma chi?	ma chi
2	PKP134	2.02	2.699	0.679	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	michi,	michi,	michi
3	PKP135	2.88	3.199	0.319	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mhmh	mhmh	mhmh
4	PKP134	3.23	4.228	0.998	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	mi ha mandato una story,	mi ha mandato una story,	mi ha mandato una story
5	PKP135	4.38	4.96	0.58	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	2	(di [chi)?]	(di [chi)]?	di chi
6	PKP134	4.58	5.351	0.771	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[dice]ndomi	[dice]ndomi	dicendomi
7	PKP134	5.81	6.589	0.779	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	di rossi	di rossi	di rossi
8	PKP135	6.694	7.097	0.403	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	eh	eh	eh
9	PKP134	7.14	10.092	2.952	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	8	dicendomi:: (.) cioè tipo questa che ha messo ieri,	dicendomi:: {P} cioè tipo questa che ha messo ieri,	dicendomi {P} cioè tipo questa che ha messo ieri
10	PKP134	11.681	13.282	1.601	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	8	in cui c'è anche la sorella peral[tro,]	in cui c'è anche la sorella peral[tro],	in cui c' è anche la sorella peraltro
11	PKP135	13.17	13.952	0.782	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[a]:h, okay.	[a]:h, okay.	ah okay
12	PKP134	13.996	15.64	1.644	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	ma infatti loro sono insieme a pa:dova,	ma infatti loro sono insieme a pa:dova,	ma infatti loro sono insieme a padova
13	PKP134	16.3	19.032	2.732	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	>non ho capito se< però anche lei fa e:h ingegneria,	>non ho capito se< però anche lei fa e:h ingegneria,	non ho capito se però anche lei fa eh ingegneria
14	PKP134	19.101	21.98	2.879	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	e siccome michi è diventato tipo il mio confidente[::]	e siccome michi è diventato tipo il mio confident[e::]	e siccome michi è diventato tipo il mio confidente
15	PKP135	21.562	22.304	0.742	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[a:h o]kay	[a:h o]kay	ah okay
16	PKP134	22.745	23.703	0.958	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	prefe del cuore,	prefe del cuore,	prefe del cuore
17	PKP135	23.809	24.5	0.691	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	okay	okay	okay
18	PKP134	24.59	30.32	5.73	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	14	e::h (.) adesso:: ogni volta che ci sono degli sviluppi interessanti lo metto al corrente	e::h {P} adesso:: ogni volta che ci sono degli sviluppi interessanti lo metto al corrente	eh {P} adesso ogni volta che ci sono degli sviluppi interessanti lo metto al corrente
19	PKP134	30.67	33.184	2.514	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	8	e (.) mo dal nulla lui mi ha mandato::,	e {P} mo dal nulla lui mi ha mandato::,	e {P} mo dal nulla lui mi ha mandato
20	PKP134	33.302	34.74	1.438	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	questa storia dicendomi:	questa storia dicendomi:	questa storia dicendomi
21	PKP134	34.88	36.628	1.748	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	s'è fatto proprio bellin[o comunque]	s'è fatto proprio bellin[o comunque]	s' è fatto proprio bellino comunque
22	PKP135	36.0	36.66	0.66	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[e niente]	[e niente]	e niente
23	PKP135	38.51	40.563	2.053	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	comunque allora io, ho iniziato a registrare,	comunque allora io, ho iniziato a registrare,	comunque allora io ho iniziato a registrare
24	PKP135	40.641	42.015	1.374	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	adesso iniziamo a registrare,	adesso iniziamo a registrare,	adesso iniziamo a registrare
25	PKP135	42.543	46.07	3.527	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	10	e e:h, sappi che tutti i dati (.) verranno ovviamente: m:h	e e:h, sappi che tutti i dati {P} verranno ovviamente: m:h	e eh sappi che tutti i dati {P} verranno ovviamente mh
26	PKP135	46.23	49.998	3.768	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	anonimizzati, e poi ti farò avere una liberatoria per la privacy,	anonimizzati, e poi ti farò avere una liberatoria per la privacy,	anonimizzati e poi ti farò avere una liberatoria per la privacy
27	PKP134	50.459	50.98	0.521	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	2	>devo fir[mare?<]	>devo fir[mare<?]	devo firmare
28	PKP135	50.816	53.417	2.601	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	1	0	8	[e]::h (.) sì sì ma poi te la darò, ((ride))	[e]::h {P} sì sì ma poi te la darò, {ride}	eh {P} sì sì ma poi te la darò {ride}
29	PKP135	53.501	54.67	1.169	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	m:h un autografo,	m:h un autografo,	mh un autografo
30	PKP135	55.41	60.582	5.172	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	16	e e:h vabbè sono: (.) tutti dati che verranno utilizzati solo a scopo di ricerca saramente: quindi:	e e:h vabbè sono: {P} tutti dati che verranno utilizzati solo a scopo di ricerca saramente: quindi:	e eh vabbè sono {P} tutti dati che verranno utilizzati solo a scopo di ricerca saramente quindi
31	PKP135	60.771	63.45	2.679	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	6	tanto poi magari:, (.) ti trascriverò io	tanto poi magari:, {P} ti trascriverò io	tanto poi magari {P} ti trascriverò io
32	PKP135	64.21	66.531	2.321	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	però sì diciamo che hai tutta: mh	però sì diciamo che hai tutta: mh	però sì diciamo che hai tutta mh
33	PKP135	67.165	69.692	2.527	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	7	la: (.) hai la garanzia della tua privacy	la: {P} hai la garanzia della tua privacy	la {P} hai la garanzia della tua privacy
34	PKP135	69.783	70.82	1.037	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	verrà rispettata,	verrà rispettata,	verrà rispettata
35	PKP134	71.166	73.45	2.284	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	>anche che i nomi< verranno occultati eventualmente	>anche che i nomi< verranno occultati eventualmente	anche che i nomi verranno occultati eventualmente
36	PKP135	73.687	74.124	0.437	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	cosa?	cosa?	cosa
37	PKP134	74.19	74.631	0.441	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	i nomi	i nomi	i nomi
38	PKP135	74.765	76.241	1.476	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	certo che verranno o[cculta]ti,	certo che verranno o[cculta]ti,	certo che verranno occultati
39	PKP134	75.678	75.966	0.288	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mh]	[mh]	mh
40	PKP135	76.38	77.556	1.176	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	2	come no, ((ride))	come no, {ride}	come no {ride}
41	PKP135	77.68	83.06	5.38	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	19	sì sì sì >vieni viene< tutti i dati sensibili:, tutte le cose che possano far risalire a te, verranno::	sì sì sì >vieni viene< tutti i dati sensibili:, tutte le cose che possano far risalire a te, verranno::	sì sì sì vieni viene tutti i dati sensibili tutte le cose che possano far risalire a te verranno
