tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	PKP063	1.41	5.796	4.386	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	13	ma quindi sta lobosciatalgia: cioè do(ve) gli ha preso la schiena alta bassa:	ma quindi sta lobosciatalgia: cioè do(ve) gli ha preso la schiena alta bassa:	ma quindi sta lobosciatalgia cioè dove gli ha preso la schiena alta bassa
1	PKP066	5.82	13.529	7.709	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	26	da~ dalla schiena, [era] qualche giorno che glie faceva male dice ho fatto qualche sforzo se vede qua la schiena (a)ndando giù giù pe(r) la gamba	da~ dalla schiena, [era] qualche giorno che glie faceva male dice ho fatto qualche sforzo se vede qua la schiena (a)ndando giù giù pe(r) la gamba	da~ dalla schiena era qualche giorno che glie faceva male dice ho fatto qualche sforzo se vede qua la schiena andando giù giù per la gamba
2	PKP063	7.18	7.52	0.34	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mhmh]	[mhmh]	mhmh
3	PKP063	13.84	14.313	0.473	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[mh]	[mh]	mh
4	PKP066	13.86	21.037	7.177	True	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	23	#[pe]rò ehm: glie faceva male ma resisteva è rivado a un punto che: venerdì madina? o giovedì e madina no quan(d)'è st[ato]	[pe]rò ehm: glie faceva male ma resisteva è rivado a un punto che: venerdì madina? o giovedì e madina no quan(d)'é st[ato]	però ehm glie faceva male ma resisteva è rivado a un punto che venerdì madina o giovedì e madina no quand' é stato
5	PKP063	20.403	20.972	0.569	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[ma]	[ma]	ma
6	PKP066	21.18	24.97	3.79	True	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	20	#eh eh s'è alzato pe gi' a fatiga' pe(r) poco che n'è cascato perché non lo reggeva [proprio]	eh eh s'è alzato pe gi' a fatiga' pe(r) poco che n'é cascato perché non lo reggeva [proprio]	eh eh s' è alzato pe gi' a fatiga' per poco che n' é cascato perché non lo reggeva proprio
7	PKP063	24.538	25.505	0.967	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	6=0.432,8=0.005	True	0	0	0	1	[add]irittura:	[add]irittura:	addirittura
8	PKP066	25.5	31.101	5.601	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	7=0.005	False	1	0	0	13	eh (.) ma glie dole:va (u)na cosa e~ esagerata ha telefonato subito (a)l dottore	eh {P} ma glie dole:va (u)na cosa e~ esagerata ha telefonato subito (a)l dottore	eh {P} ma glie doleva una cosa e~ esagerata ha telefonato subito al dottore
9	PKP063	31.12	32.933	1.813	True	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	#e: la messo n maladia	e: la messo n maladia	e la messo n maladia
10	PKP066	32.941	33.426	0.485	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	sì	sì	sì
11	PKP066	34.298	37.742	3.444	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	1	0	0	8	eh sì (.) è: in malattia fino a: a	eh sì {P} è: in malattia fino a: a	eh sì {P} è in malattia fino a a
